asset,sector,asset_class
ADA-USD,Crypto,Crypto
BCH-USD,Crypto,Crypto
BTC-USD,Crypto,Crypto
EOS-USD,Crypto,Crypto
ETC-USD,Crypto,Crypto
ETH-USD,Crypto,Crypto
LTC-USD,Crypto,Crypto
TRX-USD,Crypto,Crypto
XLM-USD,Crypto,Crypto
XRP-USD,Crypto,Crypto
CMCSA,Comm,Equity
EA,Comm,Equity
T,Comm,Equity
TMUS,Comm,Equity
TTWO,Comm,Equity
DIS,Consumer,Equity
KO,Consumer,Equity
NKE,Consumer,Equity
SBUX,Consumer,Equity
WMT,Consumer,Equity
COP,Energy,Equity
CVX,Energy,Equity
OXY,Energy,Equity
SLB,Energy,Equity
XOM,Energy,Equity
GS,Financials,Equity
MS,Financials,Equity
USB,Financials,Equity
V,Financials,Equity
WFC,Financials,Equity
ABBV,Healthcare,Equity
ABT,Healthcare,Equity
AMGN,Healthcare,Equity
GILD,Healthcare,Equity
MRK,Healthcare,Equity
BA,Industrials,Equity
CAT,Industrials,Equity
GE,Industrials,Equity
MMM,Industrials,Equity
UPS,Industrials,Equity
DD,Materials,Equity
DOW,Materials,Equity
NEM,Materials,Equity
NUE,Materials,Equity
SHW,Materials,Equity
AMT,RealEstate,Equity
CCI,RealEstate,Equity
O,RealEstate,Equity
PLD,RealEstate,Equity
PSA,RealEstate,Equity
ADBE,Tech,Equity
AMD,Tech,Equity
INTC,Tech,Equity
NVDA,Tech,Equity
QCOM,Tech,Equity
AEP,Utilities,Equity
D,Utilities,Equity
DUK,Utilities,Equity
NEE,Utilities,Equity
SO,Utilities,Equity
