date,fund,asset,weight,asset_class,sector,method,sentiment_tilt
2021-01-04,Sentiment Tilt Equal Weight,CMCSA,0.016374224653348035,Equity,Comm,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,EA,0.016374224653348035,Equity,Comm,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,T,0.016374224653348035,Equity,Comm,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,TMUS,0.016374224653348035,Equity,Comm,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,TTWO,0.016374224653348035,Equity,Comm,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,DIS,0.03070764259592886,Equity,Consumer,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,KO,0.03070764259592886,Equity,Consumer,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,NKE,0.03070764259592886,Equity,Consumer,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,SBUX,0.03070764259592886,Equity,Consumer,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,WMT,0.03070764259592886,Equity,Consumer,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,COP,0.015972894351769126,Equity,Energy,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,CVX,0.015972894351769126,Equity,Energy,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,OXY,0.015972894351769126,Equity,Energy,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,SLB,0.015972894351769126,Equity,Energy,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,XOM,0.015972894351769126,Equity,Energy,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,GS,0.02899288653928427,Equity,Financials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,MS,0.02899288653928427,Equity,Financials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,USB,0.02899288653928427,Equity,Financials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,V,0.02899288653928427,Equity,Financials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,WFC,0.02899288653928427,Equity,Financials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,ABBV,0.01881994779271867,Equity,Healthcare,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,ABT,0.01881994779271867,Equity,Healthcare,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,AMGN,0.01881994779271867,Equity,Healthcare,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,GILD,0.01881994779271867,Equity,Healthcare,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,MRK,0.01881994779271867,Equity,Healthcare,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,BA,0.0186162995193938,Equity,Industrials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,CAT,0.0186162995193938,Equity,Industrials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,GE,0.0186162995193938,Equity,Industrials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,MMM,0.0186162995193938,Equity,Industrials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,UPS,0.0186162995193938,Equity,Industrials,equal_weight,True
2021-01-04,Sentiment Tilt Equal Weight,DD,0.01891924726439483,Equity,Materials,equal_weight,True
