date,sector,sentiment_compound,base_sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg,total_headlines,tickers_with_news,ticker_count,coverage_rate,sentiment_score_0_100,finance_lexicon_effect,sentiment_lag1,sentiment_score_lag1,sentiment_z_full_sample,sentiment_signal_z,sentiment_21d_avg,sentiment_score_21d_avg
2020-01-02,Comm,0.08718,0.08718,0.04909999999999999,0.9509000000000001,0.0,11,4,5,0.8,54.359,0.0,,,0.05020230001728891,,,
2020-01-03,Comm,0.05423,0.05423,0.0333,0.9667,0.0,3,2,5,0.4,52.7115,0.0,0.08718,54.359,-0.3107552196472923,,,
2020-01-06,Comm,0.10428583333333333,0.10428583333333333,0.07965,0.9016166666666667,0.018733333333333334,16,3,5,0.6,55.21429166666667,0.0,0.05423,52.7115,0.23759165272732585,,,
2020-01-07,Comm,0.17558,0.17558,0.0884,0.9116,0.0,5,3,5,0.6,58.779,0.0,0.10428583333333333,55.21429166666667,1.0185981949595952,,,
2020-01-08,Comm,0.175963,0.154382,0.12261,0.8473599999999999,0.0301,20,4,5,0.8,58.79815000000001,0.021581000000000017,0.17558,58.779,1.0227938468573656,,0.11944776666666668,55.972388333333335
2020-01-09,Comm,0.16018,0.16018,0.11239999999999999,0.8876,0.0,6,5,5,1.0,58.009,0.0,0.175963,58.79815000000001,0.8498957426732656,,0.12623647222222223,56.311823611111116
2020-01-10,Comm,0.028676666666666673,0.028676666666666673,0.1065,0.8452999999999999,0.0482,8,4,5,0.8,51.43383333333333,0.0,0.16018,58.009,-0.5906844402591972,,0.11229935714285715,55.61496785714286
2020-01-13,Comm,0.011156666666666667,0.0006191666666666678,0.030374999999999996,0.9438583333333334,0.025766666666666667,14,2,5,0.4,50.557833333333335,0.0105375,0.028676666666666673,51.43383333333333,-0.7826108664966317,,0.09965652083333333,54.98282604166667
2020-01-14,Comm,0.05413333333333333,0.03452,0.0512,0.9488,0.0,4,2,5,0.4,52.70666666666667,0.01961333333333333,0.011156666666666667,50.557833333333335,-0.31181417443437104,,0.09459838888888888,54.72991944444445
2020-01-15,Comm,0.00041833333333333165,0.00041833333333333165,0.0413,0.9218833333333333,0.036816666666666664,9,3,5,0.6,50.02091666666667,0.0,0.05413333333333333,52.70666666666667,-0.900246137068149,,0.08518038333333333,54.25901916666667
2020-01-16,Comm,0.11389,0.11389,0.06651666666666667,0.9214833333333333,0.012033333333333333,17,4,5,0.8,55.694500000000005,0.0,0.00041833333333333165,50.02091666666667,0.3428024623918252,,0.08779034848484848,54.38951742424243
2020-01-17,Comm,0.038040000000000004,0.038040000000000004,0.027480000000000004,0.97252,0.0,8,3,5,0.6,51.902,0.0,0.11389,55.694500000000005,-0.4881118886418164,,0.08364448611111112,54.18222430555556
2020-01-21,Comm,-0.022039999999999997,-0.022039999999999997,0.06873333333333334,0.86335,0.06791666666666667,19,4,5,0.8,48.898,0.0,0.038040000000000004,51.902,-1.1462705466523793,,0.07551491025641026,53.775745512820514
2020-01-22,Comm,0.10965,0.10965,0.0607,0.9393,0.0,4,3,5,0.6,55.4825,0.0,-0.022039999999999997,48.898,0.296354514489615,,0.07795313095238096,53.89765654761906
2020-01-23,Comm,0.26547971428571426,0.17530257142857142,0.15379428571428572,0.8440771428571429,0.002114285714285714,22,5,5,1.0,63.27398571428571,0.09017714285714284,0.10965,55.4825,2.0034230170271505,,0.09045490317460317,54.52274515873016
2020-01-24,Comm,0.10469569696969697,0.11109024242424241,0.11348424242424242,0.8509787878787879,0.03555515151515152,24,4,5,0.8,55.23478484848485,-0.006394545454545444,0.26547971428571426,63.27398571428571,0.2420815878284647,,0.09134495278679654,54.567247639339826
2020-01-27,Comm,-0.027438181818181816,-0.03633272727272728,0.008836363636363637,0.9572218181818182,0.033960000000000004,20,4,5,0.8,48.62809090909091,0.008894545454545464,0.10469569696969697,55.23478484848485,-1.2054060343546358,,0.08435770957473898,54.217885478736946
2020-01-28,Comm,0.036708000000000005,0.036708000000000005,0.10428,0.8453900000000001,0.05033,15,4,5,0.8,51.8354,0.0,-0.027438181818181816,48.62809090909091,-0.5027035552941146,,0.08171050348725349,54.08552517436268
2020-01-29,Comm,0.31110899999999997,0.25270099999999995,0.17289,0.82711,0.0,11,4,5,0.8,65.55545000000001,0.058408000000000015,0.036708000000000005,51.8354,2.5032783674215384,,0.09378410856687172,54.68920542834359
2020-01-30,Comm,-0.015438333333333332,-0.010649999999999998,0.05155,0.9178333333333333,0.03061666666666667,18,4,5,0.8,49.22808333333333,-0.004788333333333334,0.31110899999999997,65.55545000000001,-1.0739512378313674,,0.08832298647186147,54.416149323593075
2020-01-31,Comm,-0.18032545454545454,-0.18866727272727274,0.022527272727272726,0.8175727272727272,0.1599,15,4,5,0.8,40.98372727272727,0.0083418181818182,-0.015438333333333332,49.22808333333333,-2.880240958540334,-1.1450872607251195,0.07553020356627499,53.77651017831375
2020-02-03,Comm,0.1309225,0.1309225,0.1441,0.802475,0.053425,21,5,5,1.0,56.546125,0.0,-0.18032545454545454,40.98372727272727,0.5293884700909748,-2.4292333640225716,0.07761317975675118,53.88065898783756
2020-02-04,Comm,0.12110150000000001,0.11257899999999998,0.150525,0.7564599999999999,0.093015,17,5,5,1.0,56.055075,0.00852250000000003,0.1309225,56.546125,0.4218023152920113,0.5106329167297285,0.08079753689960832,54.03987684498041
2020-02-05,Comm,-0.006538333333333329,-0.006538333333333329,0.04555,0.8977499999999999,0.05673333333333334,12,4,5,0.8,49.67308333333334,0.0,0.12110150000000001,56.055075,-0.9764543660555016,0.40512801423726924,0.07552019562976706,53.776009781488355
2020-02-06,Comm,0.08663714285714286,0.06914000000000001,0.12634285714285715,0.8053904761904761,0.06826666666666667,19,5,5,1.0,54.331857142857146,0.01749714285714285,-0.006538333333333329,49.67308333333334,0.0442554603263052,-0.8203618090034247,0.0712848214801072,53.56424107400536
