term,vader_valence,intended_direction,review_status
bankruptcy,-3.0,negative,Retained in submitted finance extension
bearish,-2.0,negative,Retained in submitted finance extension
beat,1.5,positive,Retained in submitted finance extension
beats,1.5,positive,Retained in submitted finance extension
bullish,2.0,positive,Retained in submitted finance extension
default,-2.5,negative,Retained in submitted finance extension
downgrade,-2.0,negative,Retained in submitted finance extension
downgraded,-2.0,negative,Retained in submitted finance extension
fraud,-3.0,negative,Retained in submitted finance extension
layoffs,-1.8,negative,Retained in submitted finance extension
loss,-1.5,negative,Retained in submitted finance extension
losses,-1.5,negative,Retained in submitted finance extension
miss,-1.5,negative,Retained in submitted finance extension
misses,-1.5,negative,Retained in submitted finance extension
outperform,2.0,positive,Retained in submitted finance extension
outperformed,2.0,positive,Retained in submitted finance extension
profit,1.5,positive,Retained in submitted finance extension
profitable,1.7,positive,Retained in submitted finance extension
rebound,1.5,positive,Retained in submitted finance extension
rebounded,1.5,positive,Retained in submitted finance extension
slump,-1.8,negative,Retained in submitted finance extension
slumped,-1.8,negative,Retained in submitted finance extension
surge,1.8,positive,Retained in submitted finance extension
surged,1.8,positive,Retained in submitted finance extension
underperform,-2.0,negative,Retained in submitted finance extension
underperformed,-2.0,negative,Retained in submitted finance extension
upgrade,2.0,positive,Retained in submitted finance extension
upgraded,2.0,positive,Retained in submitted finance extension
