solver_success,used_fallback,solver_status,solver_message,objective_value,iterations,method,n_assets,max_weight_observed,weight_sum,group_cap,group_weight_observed,cvar_confidence,date,fund,window_observations,sentiment_tilt,post_tilt_max_weight,post_tilt_weight_sum
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-01-04,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-02-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-03-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-04-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-05-03,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-06-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-07-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-08-02,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-09-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-10-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-11-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2021-12-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-01-03,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-02-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-03-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-04-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-05-02,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-06-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-07-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-08-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-09-01,Equity Equal Weight,252,False,0.02,1.0
True,False,0,Deterministic equal-weight benchmark; no solver used.,,0,equal_weight,50,0.02,1.0,,,,2022-10-03,Equity Equal Weight,252,False,0.02,1.0
