fund,start_date,end_date,observations,periods_per_year,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,var_95,cvar_95,max_drawdown,total_return
Crypto Min Vol,2021-01-01,2023-12-31,1095,365,0.5839728918308293,0.7663484776609344,0.9855553965328592,1.4361048785790598,0.060563916287319705,0.09274590001255424,-0.7447333438477579,2.9741406597484814
Combined Risk Parity,2021-01-04,2023-12-29,753,252,0.1397169673362253,0.16101794518271476,0.89287044130593,1.2875830258539915,0.016396363168592686,0.022758256077662326,-0.19984002708170467,0.47813767496501947
Combined Tangency,2021-01-04,2023-12-29,753,252,0.19061715793585132,0.2340646404545142,0.862298433575014,1.28236051057866,0.020039757412631372,0.032779087871688116,-0.2313807857283996,0.6842802702715194
Equity Equal Weight,2021-01-04,2023-12-29,753,252,0.12643529221978822,0.16166197477746672,0.8173873626510388,1.1832171512015799,0.016106228009561904,0.022387917363557355,-0.20321862626913634,0.4272603332576044
Crypto Risk Parity,2021-01-01,2023-12-31,1095,365,0.3798790266770731,0.7847131572822592,0.8069939891131805,1.152598118288589,0.06410463637039913,0.096897015335509,-0.7994173436927294,1.627380915796699
Crypto Equal Weight,2021-01-01,2023-12-31,1095,365,0.3418797885401821,0.8042210448398298,0.7723963017522132,1.1028145324959326,0.06598132939510364,0.09916059028478158,-0.8159730614257941,1.4162442566426057
Combined Equal Weight,2021-01-04,2023-12-29,753,252,0.14979185312494003,0.21251687241172795,0.7632789382310537,1.0871996954107594,0.02052653210834688,0.03083731394147118,-0.28746987990265427,0.5175255920297168
Equity Risk Parity,2021-01-04,2023-12-29,753,252,0.099733159326435,0.14608787123757752,0.7238567161691828,1.0405469494874433,0.015133204542203916,0.02042017260201723,-0.1855389198972942,0.3285271825290179
Crypto Tangency,2021-01-01,2023-12-31,1095,365,0.26654671768365046,0.7671030868158281,0.6939264010911262,0.9954129785132675,0.06098319896531353,0.09374430645777868,-0.7712432459424046,1.0317189965298015
Combined Min Vol,2021-01-04,2023-12-29,753,252,0.05860862628154928,0.12607410727126536,0.5148154045283736,0.7311995734624847,0.013210108548534712,0.017598007940490244,-0.1576658724021287,0.18552800204316733
Equity Min Vol,2021-01-04,2023-12-29,753,252,0.057905811119540296,0.12600577016561743,0.5097498688510786,0.7256711056177493,0.013138796609986913,0.01748880176844476,-0.1561966553906241,0.18317769122524408
Equity Tangency,2021-01-04,2023-12-29,753,252,0.07258421890738043,0.17607240490475204,0.48615619271520044,0.6790542235328101,0.01737028064455642,0.025091453095158114,-0.23198034782757782,0.23291157497114656
Sentiment Tilt Equity,2021-01-04,2023-12-29,753,252,0.06103061785973107,0.17689868229642658,0.42345394386654733,0.5906675301058106,0.01757825625116105,0.0251602939764951,-0.24800790296813158,0.1936512700389459
MarketPulse TailGuard,2021-01-04,2023-12-29,753,252,0.032777226259370185,0.13715015259038807,0.3037435629080325,0.42484926660353123,0.01464702172442294,0.01886594549969615,-0.18373083399844037,0.10116706209805493
