sector,sentiment_label,ticker_days,headlines
Comm,negative,451,1345
Comm,neutral,1297,3046
Comm,positive,2058,7392
Consumer,negative,510,2319
Consumer,neutral,1304,6318
Consumer,positive,2910,17240
Energy,negative,540,2306
Energy,neutral,1058,4025
Energy,positive,2648,13034
Financials,negative,633,2516
Financials,neutral,1254,4360
Financials,positive,2514,11393
Healthcare,negative,537,1671
Healthcare,neutral,1239,3308
Healthcare,positive,2428,9718
Industrials,negative,489,1977
Industrials,neutral,1225,3470
Industrials,positive,2068,7709
Materials,negative,230,492
Materials,neutral,1209,1921
Materials,positive,1233,2980
RealEstate,negative,213,382
RealEstate,neutral,1064,1587
RealEstate,positive,1519,3370
Tech,negative,400,1633
Tech,neutral,1052,4960
Tech,positive,2897,20039
Utilities,negative,200,370
Utilities,neutral,882,1315
Utilities,positive,1900,4634
